SATZART;AGS;LAND;RB;KREIS;BEV;ERWERBST;ERWERBSL;NERWERB;ERW18;ERW18_29;ERW30_49;ERW50_64;ERW65;ERWOAUS;ERWBERUF;ERWHOCH
40;03251;Niedersachsen;Hannover;Diepholz;210440;108960;3630;97850;1450;18390;51410;32990;4720;20890;74600;13470
40;03252;Niedersachsen;Hannover;Hameln-Pyrmont;148510;69970;4370;74180;710;11850;32930;21140;3340;13090;47680;9190
40;03254;Niedersachsen;Hannover;Hildesheim;274830;130220;8490;136120;1420;24280;63000;37730;3800;23560;84630;22040
40;03255;Niedersachsen;Hannover;Holzminden;73120;32160;2330;38630;/;5340;15830;9370;1270;6110;22670;3390
40;03256;Niedersachsen;Hannover;Nienburg (Weser);121580;59120;3010;59450;610;9940;28540;18110;1930;11820;40400;6910
40;03257;Niedersachsen;Hannover;Schaumburg;156200;74150;4160;77890;650;11670;36780;22180;2860;13660;50220;10270
20;033;Niedersachsen;Lüneburg;Gesamt;1656020;822410;37890;795720;12300;142010;394790;239720;33600;152900;548690;120830
40;03351;Niedersachsen;Lüneburg;Celle;174550;84400;4810;85340;1320;14990;38650;26400;3040;15230;57600;11570
40;03352;Niedersachsen;Lüneburg;Cuxhaven;198100;95100;4110;98890;1230;16420;43850;29440;4150;17960;66020;11120
40;03353;Niedersachsen;Lüneburg;Harburg;237910;122280;5620;110010;2030;18650;61200;33940;6470;20560;80040;21680
40;03354;Niedersachsen;Lüneburg;Lüchow-Dannenberg;48720;21630;1040;26060;/;2760;10290;7240;1160;3750;15580;2310
40;03355;Niedersachsen;Lüneburg;Lüneburg;171820;84900;4130;82790;960;15520;42480;23540;2400;15570;51740;17600
40;03356;Niedersachsen;Lüneburg;Osterholz;110020;57340;2340;50340;860;9140;27090;17610;2630;10750;37410;9180
40;03357;Niedersachsen;Lüneburg;Rotenburg (Wümme);161220;84460;3600;73160;1790;16180;38730;24110;3640;17460;57420;9570
40;03358;Niedersachsen;Lüneburg;Soltau-Fallingbostel;135300;66860;3050;65400;1020;12210;31020;20000;2610;13500;46360;6990
40;03359;Niedersachsen;Lüneburg;Stade;194540;97950;4180;92420;1750;18150;48050;26420;3570;18360;65270;14310
40;03360;Niedersachsen;Lüneburg;Uelzen;92730;42810;2480;47450;/;7340;21800;11630;1650;8040;28600;6180
40;03361;Niedersachsen;Lüneburg;Verden;131090;64690;2520;63880;740;10650;31630;19390;2280;11730;42650;10320
20;034;Niedersachsen;Weser-Ems;Gesamt;2422420;1213050;50100;1159270;17650;243370;578940;333110;39980;247480;800720;164850
40;03401;Niedersachsen;Weser-Ems;Delmenhorst, Stadt;72900;33480;2570;36850;/;6160;16130;10120;810;7030;22950;3500
40;03402;Niedersachsen;Weser-Ems;Emden, Stadt;49360;22670;1270;25410;/;5410;10410;6200;/;5030;14350;3290
40;03403;Niedersachsen;Weser-Ems;Oldenburg (Oldenburg), Stadt;156120;80730;4300;71090;/;19950;37120;20910;2160;16050;42820;21860
40;03404;Niedersachsen;Weser-Ems;Osnabrück, Stadt;152570;77150;3900;71520;/;17470;36560;19340;3170;15470;40670;21000
40;03405;Niedersachsen;Weser-Ems;Wilhelmshaven, Stadt;76550;33220;3000;40330;/;7080;14710;9520;1170;7810;21060;4350
40;03451;Niedersachsen;Weser-Ems;Ammerland;117470;59460;2360;55660;670;10500;29040;17010;2240;10640;41110;7710
40;03452;Niedersachsen;Weser-Ems;Aurich;186430;84170;4180;98090;850;16020;41120;24000;2180;16360;57890;9910
40;03453;Niedersachsen;Weser-Ems;Cloppenburg;158630;80250;3010;75380;1540;18370;38020;20360;1950;19940;53120;7180
40;03454;Niedersachsen;Weser-Ems;Emsland;308680;158900;4310;145480;3160;33200;75830;42510;4190;30950;108990;18950
40;03455;Niedersachsen;Weser-Ems;Friesland;97740;47090;2290;48360;820;7500;22670;14030;2080;9170;32460;5460
40;03456;Niedersachsen;Weser-Ems;Grafschaft Bentheim;132740;68730;1940;62060;1100;13920;32710;18470;2530;14460;47460;6820
40;03457;Niedersachsen;Weser-Ems;Leer;163490;75130;4030;84320;1250;14880;36270;20380;2360;14010;53140;7980
40;03458;Niedersachsen;Weser-Ems;Oldenburg;123990;65500;2150;56330;800;10850;32050;19280;2520;12780;43910;8820
40;03459;Niedersachsen;Weser-Ems;Osnabrück;348180;184310;5970;157900;2900;34660;88020;51420;7300;37450;125050;21810
40;03460;Niedersachsen;Weser-Ems;Vechta;131230;73070;1590;56580;1270;15270;35180;19060;2290;17230;46540;9300
40;03461;Niedersachsen;Weser-Ems;Wesermarsch;89690;42920;2310;44460;/;7670;20340;12670;1750;8350;30440;4120
40;03462;Niedersachsen;Weser-Ems;Wittmund;56660;26280;930;29450;/;4460;12750;7830;910;4730;18750;2800
10;04;Bremen;Gesamt;Gesamt;646980;305520;23950;317510;2200;65920;141850;84480;11070;71450;163850;70220
40;04011;Bremen;Gesamt;Bremen, Stadt;539470;259710;18780;260990;2110;55470;121720;71270;9140;59910;134710;65090
40;04012;Bremen;Gesamt;Bremerhaven, Stadt;107510;45810;5180;56520;/;10460;20130;13200;1930;11540;29140;5140
10;05;Nordrhein-Westfalen;Gesamt;Gesamt;17436040;8418180;494360;8523490;77120;1628100;4075290;2363300;274370;1756260;5087740;1574190
20;051;Nordrhein-Westfalen;Düsseldorf;Gesamt;5048340;2401930;156580;2489820;21320;446780;1163250;682620;87960;513840;1430510;457580
40;05111;Nordrhein-Westfalen;Düsseldorf;Düsseldorf, Stadt;582760;295970;17450;269340;1750;56580;154640;71290;11710;60290;137820;97860
40;05112;Nordrhein-Westfalen;Düsseldorf;Duisburg, Stadt;486750;211760;23170;251820;1780;42410;101910;58430;7220;52320;131190;28240
