,mtknr,avg
1221,5330,44.0
1222,5336,37.0
1223,5341,16.0
1224,5347,27.0
1225,5349,35.0
1226,5350,19.0
1227,5357,15.0
1228,5368,33.0
1229,5378,38.0
1230,5382,28.0
1231,5383,21.0
1232,5387,50.0
1233,5394,27.0
1234,5402,41.0
1235,5404,29.0
1236,5407,50.0
1237,5409,22.0
1238,5410,33.0
1239,5412,23.0
1240,5422,24.0
1241,5424,32.0
1242,5429,40.0
1243,5433,20.0
1244,5437,40.0
1245,5438,25.0
1246,5444,26.0
1247,5446,32.0
1248,5448,50.0
1249,5450,23.0
1250,5458,16.0
1251,5465,36.0
1252,5482,32.0
1253,5498,19.0
1254,5501,39.0
1255,5506,38.0
1256,5511,20.0
1257,5529,39.0
1258,5541,18.0
1259,5551,26.0
1260,5564,24.0
1261,5567,36.0
1262,5572,42.0
1263,5573,40.0
1264,5579,50.0
1265,5586,36.0
1266,5590,18.0
1267,5594,31.0
1268,5602,24.0
1269,5605,48.0
1270,5613,20.0
1271,5616,32.0
1272,5622,37.0
1273,5623,27.0
1274,5627,21.0
1275,5628,33.0
1276,5633,28.0
1277,5647,18.0
1278,5648,16.0
1279,5654,31.0
1280,5656,50.0
1281,5667,21.0
1282,5683,19.0
1283,5684,32.0
1284,5695,39.0
1285,5700,21.0
1286,5706,43.0
1287,5712,50.0
1288,5714,25.0
1289,5718,36.0
1290,5720,23.0
1291,5728,23.0
1292,5734,28.0
1293,5764,16.0
1294,5769,34.0
1295,5774,36.0
1296,5777,36.0
1297,5780,21.0
1298,5783,41.0
1299,5787,37.0
1300,5793,19.0
1301,5800,50.0
1302,5807,27.0
1303,5820,19.0
1304,5823,24.0
1305,5824,
1306,5838,25.0
1307,5852,47.0
1308,5856,31.0
1309,5859,33.0
1310,5867,34.0
1311,5868,40.0
1312,5871,39.0
1313,5872,42.0
1314,5878,22.0
1315,5888,42.0
1316,5891,25.0
1317,5897,32.0
1318,5908,24.0
1319,5914,28.0
1320,5915,31.0
1321,5925,48.0
1322,5931,28.0
1323,5933,15.0
1324,5940,20.0
1325,5955,50.0
1326,5961,34.0
1327,5964,16.0
1328,5965,28.0
1329,5968,30.0
1330,5973,20.0
1331,5976,38.0
1332,5977,20.0
1333,5978,27.0
1334,5979,50.0
1335,5982,24.0
1336,5989,29.0
1337,5994,27.0
1338,6006,10.0
1339,6013,22.0
1340,6018,29.0
1341,6021,42.0
1342,6059,37.0
1343,6075,48.0
1344,6076,50.0
1345,6077,47.0
1346,6104,50.0
1347,6129,37.0
1348,6145,42.0
1349,6154,32.0
1350,6155,23.0
1351,6165,18.0
1352,6171,23.0
1353,6173,39.0
1354,6174,40.0
1355,6175,45.0
1356,6177,44.0
1357,6195,33.0
1358,6201,50.0
1359,6213,35.0
1360,6216,50.0
1361,6221,35.0
1362,6222,18.0
1363,6231,50.0
1364,6233,24.0
1365,6267,33.0
1366,6277,39.0
1367,6280,40.0
1368,6290,35.0
1369,6294,45.0
1370,6298,17.0
1371,6303,37.0
1372,6307,25.0
1373,6321,20.0
1374,6329,36.0
1375,6345,32.0
1376,6360,14.0
1377,6365,34.0
1378,6366,36.0
1379,6369,44.0
1380,6375,11.0
1381,6399,44.0
1382,6402,19.0
1383,6405,50.0
1384,6413,33.0
1385,6414,41.0
1386,6419,39.0
1387,6427,32.0
1388,6429,19.0
1389,6430,
1390,6431,36.0
1391,6436,30.0
1392,6441,24.0
1393,6442,11.0
1394,6451,44.0
1395,6452,45.0
1396,6453,41.0
1397,6455,12.0
1398,6459,50.0
1399,6463,46.0
1400,6466,38.0
1401,6467,35.0
1402,6481,
1403,6482,35.0
1404,6487,43.0
1405,6490,50.0
1406,6491,47.0
1407,6502,
1408,6509,
1409,6511,21.0
1410,6521,24.0
1411,6530,41.0
1412,6539,31.0
1413,6540,28.0
1414,6550,45.0
1415,6555,27.0
1416,6571,34.0
1417,6575,44.0
1418,6579,50.0
1419,6586,12.0
1420,6592,50.0
1421,6596,32.0
1422,6612,16.0
1423,6613,36.0
1424,6615,50.0
1425,6631,33.0
1426,6632,37.0
1427,6647,44.0
1428,6656,21.0
1429,6669,22.0
1430,6679,33.0
1431,6682,35.0
1432,6685,44.0
1433,6702,50.0
1434,6709,50.0
1435,6712,25.0
1436,6725,14.0
1437,6748,50.0
1438,6751,44.0
1439,6754,30.0
1440,6759,19.0
1441,6771,17.0
1442,6775,39.0
1443,6796,26.0
1444,6803,25.0
1445,6805,49.0
1446,6812,50.0
1447,6829,
1448,6835,44.0
1449,6854,40.0
1450,6861,30.0
1451,6870,43.0
1452,6877,50.0
1453,6880,50.0
1454,6892,50.0
1455,6895,21.0
1456,6902,19.0
1457,6904,40.0
1458,6907,28.0
1459,6916,
1460,6923,50.0
1461,6932,46.0
1462,6933,36.0
1463,6939,12.0
1464,6942,
1465,6960,49.0
1466,6966,35.0
1467,6975,26.0
1468,6980,31.0
1469,6987,34.0
